epoch, train_loss, val_loss, lr
0, 1.2144530281525205, 1.8094589221155322, 9.99e-04
1, 0.8286525110502703, 1.6557458383006018, 9.96e-04
2, 0.7076111560830897, 1.4631603800787314, 9.91e-04
3, 0.6340137286776224, 1.2935297324488293, 9.84e-04
4, 0.5778035721764271, 1.027927853863787, 9.76e-04
5, 0.5288539392795615, 0.9248467886729821, 9.65e-04
6, 0.48649908658670815, 0.8737208701629896, 9.52e-04
7, 0.45062182026764225, 0.632339622691475, 9.38e-04
8, 0.41869444489567165, 0.6304948841790492, 9.22e-04
9, 0.3853817089234252, 0.5077234330360552, 9.05e-04
10, 0.374110712838183, 0.49599623945415827, 8.85e-04
11, 0.450055234204424, 2.177673338297251, 8.64e-04
12, 0.7117933525536461, 2.1105622716922614, 8.42e-04
13, 0.4576693490507534, 1.073003628588206, 8.19e-04
14, 0.39730340771880507, 1.0108820740571498, 7.94e-04
15, 0.35694063667182785, 0.6528059284263165, 7.68e-04
16, 0.32947273708263264, 0.6026441116792125, 7.41e-04
